ASIN_Title,ASIN,Category,Impressions_Impressions,Impressions_Rating_Median,Impressions_Price_Median,Impressions_Same_Day_Shipping_Speed,Impressions_1D_Shipping_Speed,Impressions_2D_Shipping_Speed,Clicks_Clicks,Clicks_Click_Rate_CTR,Clicks_Price_Median,Clicks_Same_Day_Shipping_Speed,Clicks_1D_Shipping_Speed,Clicks_2D_Shipping_Speed,Cart_Adds_Cart_Adds,Cart_Adds_Price_Median,Cart_Adds_Same_Day_Shipping_Speed,Cart_Adds_1D_Shipping_Speed,Cart_Adds_2D_Shipping_Speed,Purchases_Purchases,Purchases_Search_Traffic_Sales,Purchases_Conversion_Rate,Purchases_Rating_Median,Purchases_Price_Median,Purchases_Same_Day_Shipping_Speed,Purchases_1D_Shipping_Speed,Purchases_2D_Shipping_Speed,Reporting_Date
"HAPPY LOLLI Purple LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B09XQ56RK5,Apparel,13202,,54.4,113,2343,3291,223,1.69,54.4,5,47,57,22,54.4,2,5,3,2,108.8,0.9,,54.4,0,0,1,2026-01-31
"HAPPY LOLLI White LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B0C1VLXYBP,Apparel,721819,,54.4,3686,106827,126261,1734,0.24,54.4,71,302,395,163,54.4,5,28,34,21,3100.8,1.21,,54.4,0,8,2,2026-01-31
"HAPPY LOLLI Pink LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B0CR6N3WRC,Apparel,10,,54.4,0,0,0,0,0.0,,0,0,0,0,,0,0,0,0,0.0,,,,0,0,0,2026-01-31
"Happy Lolli Power Shower Gift Set – College Essential Bath Accessories for Women and Teen Girls – Includes Body Towel, Hair Towel, Wrist Bands, Headband, Face Sponge and More (Fresh in Beige)",B0D7N2MLDP,Beauty,7003,,49.9,77,724,1528,118,1.68,49.9,1,13,26,19,49.9,0,4,4,1,49.9,0.85,,49.9,0,0,1,2026-01-31
"Happy Lolli Power Shower Gift Set – College Essential Bath Accessories for Women and Teen Girls – Includes Body Towel, Hair Towel, Wrist Bands, Headband, Face Sponge and More (Fresh in Pink)",B0D7N31M6S,Beauty,14024,,49.9,0,0,0,180,1.28,49.9,0,0,0,27,49.9,0,0,0,2,99.8,1.11,,49.9,0,0,0,2026-01-31
"HAPPY LOLLI Blue LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B0DJFG5ZJ7,Apparel,1349,,54.4,17,371,310,25,1.85,54.4,1,8,5,1,54.4,0,1,0,0,0.0,0.0,,,0,0,0,2026-01-31
"HAPPY LOLLI Truth or Dare Game – Fun Gift for Tween & Teen Girls Ages 10 and Up – Screen-Free Party & Family Fun Game for Sleepovers, Birthdays, Holidays, BFF Nights – 60 Truths & Dares",B0F4KCCSWN,Toys,32542,,29.9,406,7350,8233,581,1.79,29.9,12,144,148,152,29.9,2,39,41,19,568.1,3.27,,29.9,1,11,4,2026-01-31
"HAPPY LOLLI Mint LolliME DIY Journal Kit for Girls – 300+ Pieces! Lockable Fuzzy Diary, Markers, Stickers & Empowering Pages – Gift Box for Tweens & Teens – Creative Journaling Set",B0F9X95K5H,Home,16118,,32.99,122,2597,1958,241,1.5,32.99,0,42,31,48,32.99,0,14,7,8,263.92,3.32,,32.99,0,4,2,2026-01-31
"HAPPY LOLLI Purple LolliME DIY Journal Kit for Girls – 300+ Pieces! Lockable Fuzzy Diary, Markers, Stickers & Empowering Pages – Gift Box for Tweens & Teens – Creative Journaling Set",B0F9XDSVYB,Home,31304,,32.99,339,4172,4467,423,1.35,32.99,2,58,59,115,32.99,1,16,25,5,164.95,1.18,,32.99,0,1,2,2026-01-31
"HAPPY LOLLI Pink LolliME DIY Journal Kit for Girls – 300+ Pieces! Lockable Fuzzy Diary, Markers, Stickers & Empowering Pages – Gift Box for Tweens & Teens – Creative Journaling Set",B0F9XFXQRW,Home,12889,,32.99,143,1925,2382,213,1.65,32.99,2,27,36,67,32.99,1,8,9,10,329.9,4.69,,32.99,0,2,1,2026-01-31
