ASIN_Title,ASIN,Category,Impressions_Impressions,Impressions_Rating_Median,Impressions_Price_Median,Impressions_Same_Day_Shipping_Speed,Impressions_1D_Shipping_Speed,Impressions_2D_Shipping_Speed,Clicks_Clicks,Clicks_Click_Rate_CTR,Clicks_Price_Median,Clicks_Same_Day_Shipping_Speed,Clicks_1D_Shipping_Speed,Clicks_2D_Shipping_Speed,Cart_Adds_Cart_Adds,Cart_Adds_Price_Median,Cart_Adds_Same_Day_Shipping_Speed,Cart_Adds_1D_Shipping_Speed,Cart_Adds_2D_Shipping_Speed,Purchases_Purchases,Purchases_Search_Traffic_Sales,Purchases_Conversion_Rate,Purchases_Rating_Median,Purchases_Price_Median,Purchases_Same_Day_Shipping_Speed,Purchases_1D_Shipping_Speed,Purchases_2D_Shipping_Speed,Reporting_Date
"HAPPY LOLLI Purple LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B09XQ56RK5,Apparel,14623,,54.4,241,6238,4433,330,2.26,54.4,8,151,88,23,54.4,1,11,7,5,272.0,1.52,,54.4,1,3,1,2026-01-17
"HAPPY LOLLI White LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B0C1VLXYBP,Apparel,3616912,,54.4,8462,2080198,1076967,2360,0.07,54.4,205,936,748,174,54.4,11,72,61,20,1085.28,0.85,,54.4,3,14,2,2026-01-17
"HAPPY LOLLI Pink LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B0CR6N3WRC,Apparel,1321,,54.4,0,0,0,27,2.04,54.4,0,0,0,1,54.4,0,0,0,0,0.0,0.0,,,0,0,0,2026-01-17
"Happy Lolli Power Shower Gift Set – College Essential Bath Accessories for Women and Teen Girls – Includes Body Towel, Hair Towel, Wrist Bands, Headband, Face Sponge and More (Fresh in Beige)",B0D7N2MLDP,Beauty,6084,,49.9,113,2511,2059,125,2.05,49.9,1,52,47,16,49.9,0,6,7,3,149.7,2.4,,49.9,0,1,0,2026-01-17
"Happy Lolli Power Shower Gift Set – College Essential Bath Accessories for Women and Teen Girls – Includes Body Towel, Hair Towel, Wrist Bands, Headband, Face Sponge and More (Fresh in Pink)",B0D7N31M6S,Beauty,5554,,49.9,0,4,6,73,1.31,49.9,0,0,0,9,49.9,0,0,0,2,99.8,2.74,,49.9,0,0,0,2026-01-17
"HAPPY LOLLI Blue LolliBox Birthday Gift for Tween & Teen Girls Ages 8–14, Ready to Gift Surprise Box with Empowering Fun Challenges",B0DJFG5ZJ7,Apparel,1104,,54.4,39,496,359,33,2.99,54.4,3,16,11,3,54.4,0,0,2,0,0.0,0.0,,,0,0,0,2026-01-17
"HAPPY LOLLI Truth or Dare Game – Fun Gift for Tween & Teen Girls Ages 10 and Up – Screen-Free Party & Family Fun Game for Sleepovers, Birthdays, Holidays, BFF Nights – 60 Truths & Dares",B0F4KCCSWN,Toys,33902,,29.9,556,15700,11506,761,2.24,29.9,14,369,244,174,29.9,2,86,62,23,717.6,3.02,,29.9,0,12,7,2026-01-17
"HAPPY LOLLI Mint LolliME DIY Journal Kit for Girls – 300+ Pieces! Lockable Fuzzy Diary, Markers, Stickers & Empowering Pages – Gift Box for Tweens & Teens – Creative Journaling Set",B0F9X95K5H,Home,18379,,32.99,216,4123,4983,275,1.5,32.99,7,60,73,52,32.99,2,14,11,9,329.9,3.27,,32.99,1,3,2,2026-01-17
"HAPPY LOLLI Purple LolliME DIY Journal Kit for Girls – 300+ Pieces! Lockable Fuzzy Diary, Markers, Stickers & Empowering Pages – Gift Box for Tweens & Teens – Creative Journaling Set",B0F9XDSVYB,Home,47422,,32.99,644,17406,14218,680,1.43,32.99,10,258,200,156,32.99,3,62,45,11,362.89,1.62,,32.99,0,4,5,2026-01-17
"HAPPY LOLLI Pink LolliME DIY Journal Kit for Girls – 300+ Pieces! Lockable Fuzzy Diary, Markers, Stickers & Empowering Pages – Gift Box for Tweens & Teens – Creative Journaling Set",B0F9XFXQRW,Home,17510,,32.99,424,7225,4273,302,1.72,32.99,9,126,74,46,32.99,1,14,13,8,296.91,2.65,,32.99,1,5,1,2026-01-17
