campaign_name,negative_keyword,spend_30d
BOX - EXACT (white - teen),teen girls gifts,13.39
BOX - EXACT (white - teen),teen girl gift,7.34
BOX - EXACT (white - teen),gifts for teens girls 12-14,6.0
BOX - EXACT (white - teen),gift for teen girls 12-14,2.93
BOX - EXACT (white - teen),gift for teens girls 12-14,2.83
BOX - EXACT (white - teen),teen girls gift,2.54
BOX - EXACT (white - teen),teens girls gifts,2.52
BOX - EXACT (white - teen),teens girl gift,1.67
BOX -AUTO (white),gifts for teenage girls,9.62
BOX -AUTO (white),tween girls gifts,5.65
BOX -AUTO (white),gifts for 10 year old girl,5.04
BOX -AUTO (white),valentines day gifts for teen girls,4.27
BOX -AUTO (white),valentines gifts for teen girls,3.9
BOX -AUTO (white),valentine gifts for teen girls,3.85
BOX -AUTO (white),gift for 10 year old girl,3.83
BOX -AUTO (white),valentines for teens girls,3.71
BOX -AUTO (white),christmas gifts for teens,3.7
BOX -AUTO (white),sephora gift cards,3.57
BOX -AUTO (white),valentines gifts for teens,3.44
BOX -AUTO (white),11 year old girl gifts,2.88
BOX -AUTO (white),gifts for 11 year old girl,2.88
BOX -AUTO (white),birthday gifts for 11 year old girls,2.85
BOX -AUTO (white),gifts for 13 year old girl,2.83
BOX -AUTO (white),birthday gifts for teen girls,2.52
BOX -AUTO (white),birthday gifts for 9 year old girl,2.44
BOX -AUTO (white),teen girl gift basket,2.39
BOX -AUTO (white),valentines gifts for teen daughter,2.34
BOX -AUTO (white),valentines gifts for 10 year old girls,2.23
BOX -AUTO (white),11th birthday,2.18
BOX -AUTO (white),girls birthday gifts,2.16
BOX -AUTO (white),gifts for 12 year old girl,2.16
BOX -AUTO (white),gift for 12 year old girl,2.16
BOX -AUTO (white),pre made gift baskets teen girl birthday,2.09
BOX -AUTO (white),valentines for teen daughter,2.07
BOX -AUTO (white),valentines day teen girl,2.04
BOX -AUTO (white),mystery boxes,2.02
BOX -AUTO (white),gifts for teen girls,1.99
BOX -AUTO (white),tween gifts,1.98
BOX -AUTO (white),teen,1.98
BOX -AUTO (white),valentines day gifts for teens,1.96
BOX -AUTO (white),valentine gift for teens,1.96
BOX -AUTO (white),valentines day gifts for teenage girls,1.9
BOX -AUTO (white),cool presents for 8 year old girls spa theme,1.9
BOX -AUTO (white),birthday box for teen girl,1.8
BOX -AUTO (white),13th birthday,1.76
BOX -AUTO (white),valentines day gifts for teen daughter,1.76
BOX -AUTO (white),birthday gifts for girls,1.74
BOX -AUTO (white),valentines gift for teen daughter,1.74
BOX -AUTO (white),13 year old girl gifts,1.74
BOX -AUTO (white),valentines day gift basket for teen girls,1.72
BOX -AUTO (white),gifts for tween girls 10-12,1.67
BOX -AUTO (white),8 year old girl gifts,1.67
BOX -AUTO (white),valentines for teen granddaughter,1.67
BOX -AUTO (white),girls spa kit,1.67
BOX -AUTO (white),gift baskets for girls,1.67
BOX -AUTO (white),birthday gift for teen girl,1.67
BOX -AUTO (white),valentine's gifts for teenagers,1.62
BOX -AUTO (white),present for 10 year old girl,1.61
BOX -AUTO (white),gift for girls 10-12,1.58
BOX -AUTO (white),gift box for girls,1.47
BOX -AUTO (white),quinceañera gifts,1.46
BOX -AUTO (white),14 year old girl gifts,1.44
BOX -AUTO (white),gift for 14 year old girl,1.44
BOX -AUTO (white),birthday gift for 9 + year old girl,1.44
BOX -AUTO (white),birthday gift for 10 year old girl,1.44
BOX -AUTO (white),14 yr old girl birthday gifts,1.44
BOX -AUTO (white),birthday gift for 12 year old girl,1.44
BOX -AUTO (white),12 year old girl gifts,1.44
BOX -AUTO (white),birthday gift 12 year old girl,1.44
BOX -AUTO (white),girls spa set,1.44
BOX -AUTO (white),gifts for 8 year old girls,1.44
BOX -AUTO (white),gift for 12+ year old girl,1.44
BOX -AUTO (white),birthday gift box for girls,1.44
BOX -AUTO (white),birthday box,1.44
BOX -AUTO (white),13th birthday gifts for girls,1.44
BOX -AUTO (white),gift for girls 8-10,1.44
BOX -AUTO (white),easter baskets for teens,1.44
BOX -AUTO (white),gifts for 9 year old girls,1.44
BOX -AUTO (white),tween gifts 10-12 girls trendy,1.44
BOX -AUTO (white),gift for 11 year old girl,1.44
BOX -AUTO (white),spa set for girls 10-12,1.43
BOX -AUTO (white),girls night gift set pink,1.38
BOX -AUTO (white),10 year old girl birthday gifts,1.38
BOX -AUTO (white),teen gift box,1.34
BOX -AUTO (white),makeup for teens,1.32
BOX -AUTO (white),niece gifts from auntie,1.32
BOX -AUTO (white),slime kit for girls ages 8-12,1.32
BOX -AUTO (white),teen makeup kit,1.32
BOX -AUTO (white),gifts for teens,1.27
BOX -AUTO (white),easter basket for teens,1.25
BOX -AUTO (white),valentine basket for teen girls,1.25
BOX -AUTO (white),spa set for teen girls,1.2
BOX -AUTO (white),spa kit for girls,1.2
BOX -AUTO (white),teen spa gift set,1.19
BOX -AUTO (white),juguetes para ninas 12 a14,1.17
BOX -AUTO (white),craft kits for girls ages 8-12,1.17
BOX -AUTO (white),valentines day gift girl,1.14
BOX -AUTO (white),personal gift for girls,1.14
BOX -AUTO (white),best gift for a 15 year old girl,1.14
BOX -AUTO (white),what to get an 11 year old girl,1.11
BOX -AUTO (white),luxury gift for 10 years old,1.08
BOX -AUTO (white),11 birthday decorations for girls,1.08
BOX -AUTO (white),gift ideas for a 10 year old artistic girl,1.08
BOX -AUTO (white),13 year old girl birthday gifts,1.02
BOX -AUTO (white),gift for teen girl,1.02
BOX -AUTO (white),teen girl valentines gifts,1.02
BOX -AUTO (white),birthday gifts for 14 year old girl,1.02
BOX -AUTO (white),valentines day gifts teens,1.02
BOX -AUTO (white),girl spa set,1.02
BOX -AUTO (white),birthday 9 year okd,1.02
BOX -AUTO (white),valentines gifts for tweens,1.02
BOX -AUTO (white),skincare for girls 10-12,1.02
BOX -AUTO (white),girl gifts,1.02
BOX -AUTO (white),valentines day for tweens,1.0
BOX -EXACT/VIDEO (teen girl gifts trendy stuff),teens girls trendy stuff,10.22
BOX -EXACT/VIDEO (teen girl gifts trendy stuff),teen girls trendy stuff,8.65
BOX -EXACT/VIDEO (teen girl gifts trendy stuff),tween girl gifts trendy stuff,3.36
BOX -EXACT/VIDEO (teen girl gifts trendy stuff),trending tween girl stuff,1.29
BOX -EXACT/VIDEO (teen girl gifts trendy stuff),trendy tween girl stuff,1.1
BOX- COMPETE (Copycats white),b0clv7wyfp,12.91
BOX- COMPETE (Copycats white),cute stuff,12.78
BOX- COMPETE (Copycats white),valentines gift for teen girl,6.8
BOX- COMPETE (Copycats white),teen gifts for girls,4.83
BOX- COMPETE (Copycats white),gift box for teen girls,3.67
BOX- COMPETE (Copycats white),college care package for girls,3.6
BOX- COMPETE (Copycats white),teenager girl gift ideas,3.43
