campaign_id,ad_group_id,campaign_name,customer_search_term,spend,sales,orders,roas
531456687555062,511166077504094,"ME-SP/PT (Conquest, Competitors)",b0by8c82lg,503.23,2042.29,62,4.06
442375483215343,559795205869985,BOX -EXACT/VIDEO (teen girl gifts trendy stuff),teen girl gifts trendy stuff,706.11,1187.8,22,1.68
531456687555062,511166077504094,"ME-SP/PT (Conquest, Competitors)",b0fdkrth55,207.53,824.75,24,3.97
474287046075083,369705238653820,ME - Exact - T2 - SP,journal kit,295.22,791.76,24,2.68
71460479938206,437521225071921,"BOX-SP/EXACT (Teen Girl Gifts, Boost)",teen girl gifts,635.4,752.6,14,1.18
435692261851957,459036452038723,ME-VIDEO/EXACT (Girls journal),girls diary,97.82,560.83,17,5.73
200171414843593,176708662571572,BOX-SP/BROAD-(white- gift for girl),10 year old girl gifts,58.47,489.6,9,8.37
14040466080362,353193873171054,BOX-SP/PHRASE (Brand Defense),happy lolli gift for tween and teen girls,38.7,476.1,9,12.3
442375483215343,559795205869985,BOX -EXACT/VIDEO (teen girl gifts trendy stuff),tween girls trendy stuff,220.54,435.2,8,1.97
435692261851957,459036452038723,"ME-VIDEO/EXACT ((Boost, Girls journal)",diary for girls ages 8-12,109.87,395.88,12,3.6
446868628489343,302639242934323,FRESH-VIDEO/ BROAD,teenager girl gift ideas,51.52,362.8,6,7.04
292848303399755,291025799038676,FRESH- VIDEO / BROAD (Jenna),gifts for teenage girls,42.99,349.3,7,8.13
512157925768567,387259046659802,"ME-SP/BROAD(10 year old girl gifts, Lollime Mint)",10 year old girl gifts,79.48,329.9,10,4.15
435692261851957,459036452038723,"ME-VIDEO/EXACT ((Boost, Girls journal)",journal for girls,97.98,329.9,10,3.37
292848303399755,291025799038676,FRESH- VIDEO / BROAD (Jenna),gifts for teen girls,92.72,299.4,6,3.23
436243721018612,382647674939758,BOTTLE-SP/BROAD,truth or dare game,67.3,299.0,9,4.44
292848303399755,291025799038676,FRESH- VIDEO / BROAD (Jenna),teenage girl gift ideas,39.25,286.99,6,7.31
200171414843593,176708662571572,BOX-SP/BROAD-(white- gift for girl),9 year old girl birthday gifts,32.95,272.0,5,8.25
501467313119574,300902942853300,BOX- STORE broad (BY AGE),happy lolli gift for tween and teen girls,6.15,272.0,5,44.23
446012015657681,404659441401532,BOX- COMPETE (Copycats white),b0djs9jylr,38.66,272.0,5,7.04
501467313119574,300902942853300,BOX- STORE broad (BY AGE),happy lolli,11.74,272.0,5,23.17
200171414843593,176708662571572,BOX-SP/BROAD-(white- gift for girl),gifts for teen girls,40.34,267.5,5,6.63
214487258364251,467943414509134,"ME-SP/EXACT (Boost, Girls journal)",girls journal,89.96,263.92,8,2.93
214487258364251,467943414509134,"ME-SP/EXACT (Boost, Girls journal)",diy journal kit for girls 8-14,67.07,263.92,8,3.93
435692261851957,459036452038723,"ME-VIDEO/EXACT ((Boost, Girls journal)",diary for girls,87.54,263.92,8,3.01
435692261851957,459036452038723,ME-VIDEO/EXACT (Girls journal),kids journals for girls,40.9,263.92,8,6.45
435692261851957,459036452038723,ME-VIDEO/EXACT (Girls journal),girls journals age 8-10,71.19,263.92,8,3.71
292848303399755,291025799038676,FRESH- VIDEO / BROAD (Jenna),easter baskets for teens,23.46,263.0,5,11.21
411807791631319,536631332192043,BOX - EXACT (white - teen),teen girl gifts,385.47,258.5,6,0.67
446868628489343,302639242934323,FRESH-VIDEO/ BROAD,gifts for teenage girls,29.85,254.0,5,8.51
292848303399755,291025799038676,FRESH- VIDEO / BROAD (Jenna),teenager girl gift ideas,56.71,250.45,5,4.42
292848303399755,291025799038676,FRESH- VIDEO / BROAD (Jenna),birthday gift for 12 year old girl,9.62,249.5,5,25.94
512157925768567,387259046659802,"ME-SP/BROAD(10 year old girl gifts, Lollime Mint)",10 year old girl birthday gifts,53.33,240.76,6,4.51
446868628489343,302639242934323,FRESH-VIDEO/ BROAD,11 year old girl gifts,35.79,234.0,4,6.54
369056697567588,519847279578167,ME-VIDEO/BROAD (Hunter),girls 7 to 10,0.64,230.93,6,360.83
369056697567588,519847279578167,ME-VIDEO/BROAD (Hunter),journal gifts,1.28,230.93,3,180.41
435692261851957,459036452038723,"ME-VIDEO/EXACT ((Boost, Girls journal)",notebooks for girls,31.69,230.93,7,7.29
369056697567588,519847279578167,ME- VIDEO/ BROAD,journal kit for girls ages 8-12,21.08,230.93,6,10.95
435692261851957,459036452038723,"ME-VIDEO/EXACT ((Boost, Girls journal)",girls journal kit,50.69,230.93,7,4.56
486950936491346,336534356095014,BOTTLE- AUTO,girls spa party supplies,0.2,230.93,2,1154.65
435692261851957,459036452038723,ME-VIDEO/EXACT (Girls journal),journal for girls ages 8-12,85.01,230.93,6,2.72
64984933476400,296397057372432,teenager girl gift ideas,teenager girl gift ideas,67.76,217.6,4,3.21
533357357724374,305636552823389,BOX-VIDEO/BROAD (2 KW),10 year old girl gifts,29.58,217.6,4,7.36
102652064294862,179404377394651,BRAND-STORE/BROAD (old one),spa set for girls,0.69,217.6,1,315.36
446012015657681,404659441401532,BOX- COMPETE (Copycats white),valentines day gifts for teen girls,35.36,217.6,3,6.15
488973733209950,416387480620841,BOX -AUTO (white),valentine gifts for tween girls,1.44,217.6,2,151.11
488973733209950,416387480620841,BOX -AUTO (white),gift 12 year old girl,0.72,217.6,2,302.22
200171414843593,176708662571572,BOX-SP/BROAD-(white- gift for girl),gifts for teenage girls,75.07,213.1,4,2.84
214487258364251,467943414509134,"ME-SP/EXACT (Boost, Girls journal)",diaries with locks for girls,15.17,207.77,5,13.7
527422818407259,436092532090167,ME-AUTO,diary with lock,17.35,197.94,4,11.41
435692261851957,459036452038723,ME-VIDEO/EXACT (Girls journal),journal kit for girls,43.28,197.94,6,4.57
214487258364251,467943414509134,"ME-SP/EXACT (Boost, Girls journal)",journal for girls,87.92,197.94,6,2.25
369056697567588,519847279578167,ME- VIDEO/ BROAD,journal kit,28.85,197.94,6,6.86
