campaign_id,ad_group_id,keyword_id,product_targeting_id,campaign_name,ad_group_name,keyword_text,match_type,impressions,clicks,spend,sales,orders,roas,acos,bid
-1,-1,-1,,LOLLIBOX WHITE AUTO,,*,,847354,40378,13537.28,32802.5,574,2.42,41.3,
144251271619272012,144338979529747990,-1,,LOLLIBOX Store- Happy Lolli,,gift for girls,,239222,12683,3415.37,8284.9,140,2.43,41.2,
529132353502308,520028925233058,-1,,LOLLIBOX VIDEO COMPETITORS,,"asin=""B0C23NBZ6W""",,166863,6787,3209.1,5850.3,99,1.82,54.9,
507341974489032,471581735356014,-1,,LOLLIBOX  VIDEO exact - 11 year old girl birthday gifts,,11 year old girl birthday gifts,,48023,2632,2479.31,4779.8,80,1.93,51.9,
439272378267086,298573796997692,-1,,LOLLIBOX Automatic Bot -WHITE,,loose-match,,47593,4771,1999.28,4890.7,81,2.45,40.9,
447596299558527,495642646948733,-1,,LOLLIBOX PURPLE AUTO,,*,,107128,5531,1992.76,3315.7,56,1.66,60.1,
318788737937432,359401377249133,-1,,FRESH AUTO,,loose-match,,32942,3066,1760.94,3802.7,73,2.16,46.3,
466836485971280,391860044211264,-1,,LOLLIBOX  STORE,,birthday gift for 12 year old girl,,229594,2015,1341.56,1578.6,27,1.18,85.0,
479864461213214,448834386400436,-1,,LOLLIBOX PINK AUTO,,substitutes,,20550,1696,1042.23,1906.8,30,1.83,54.7,
333204395602103,453597145595892,-1,,Fresh product competitors,,"asin=""B07GBFT6Z3""",,47816,796,839.06,349.3,7,0.42,240.2,
454492150376920,498067844189931,-1,,valentine store,,girls valentines day gifts,,95399,1145,690.25,848.4,16,1.23,81.4,
471312885898700,530742645328857,-1,,FRESH VIDEO competitors,,"asin=""B0DBVJWDNL""",,14843,636,643.81,794.0,14,1.23,81.1,
504311717345130,358791517751327,-1,,LOLLIBOX VIDEO exact- girls birthday gifts age 8-10,,girls birthday gifts age 8-10,,11611,483,438.02,1198.0,20,2.74,36.6,
320996177625195,515943315948849,-1,,LOLLIBOX exact- tween girls gifts,,tween girls gifts,,41246,337,400.11,179.7,3,0.45,222.7,
362982916393454,339088249569947,-1,,LOLLIBOX VIDEO WHITE Helium,,tween girls trendy stuff,,149751,437,350.15,359.4,6,1.03,97.4,
308569045407289,390080786377586,-1,,LOLLIBOX STORE- PINK+PURPLE+BLUE Broad,,+gift for +tween +girl,,20544,480,348.75,948.4,16,2.72,36.8,
421262429881281,540157573119128,-1,,Fresh - broad - high rank - pink,,teenage girl gifts,,7075,449,336.41,469.1,9,1.39,71.7,
339571487867248,529534150954944,-1,,LOLLIBOX - IS low IR low exact - WHITE,,12 year old girl gifts,,21855,574,281.86,499.3,9,1.77,56.5,
294046387279257,343448752380277,-1,,LOLLIBOX- EXACT VIDEO- GRANDMA,,birthday gift for granddaughter,,4879,350,247.22,239.6,4,0.97,103.2,
327606875247356,457442145365997,-1,,LOLLIBOX VIDEO exact - gifts for 10 year old girl,,gifts for 10 year old girl,,14338,495,215.21,380.6,7,1.77,56.5,
